id	image	draft_board	unknown_squares
39	src/assets/diagrams/image39.png	?1??2k?/1?1n?pbp/?4np1/2pp4/8/1P?1PN2/P?3PPP/?Q??1?K?	a8,c8,d8,h8,b7,e7,a6,c3,b2,a1,c1,d1,f1,h1
40	src/assets/diagrams/image40.png	?1??2k?/1?3p1p/?4?p?/4n3/3p4/?P6/P3?PPP/?1??1?K?	a8,c8,d8,h8,b7,a6,f6,h6,a3,e2,a1,c1,d1,f1,h1
41	src/assets/diagrams/image41.png	?6?/pp3ppp/2p5/3p4/3P4/4P3/PP3PPP/?6?	a8,h8,a1,h1
42	src/assets/diagrams/image42.png	r?bqk2r/ppp2ppp/5n2/3p4/1b1P4/2?5/PP?1PPPP/R1B1K??R	b8,c3,c2,f1,g1
43	src/assets/diagrams/image43.png	r?bqk2r/ppp2pbp/6p1/3p4/3P4/2?2N2/PP2PPPP/R2QK?1R	b8,c3,f1
44	src/assets/diagrams/image44.png	r1bqk??r/pp2pppp/2n5/3p4/3P4/2PB4/PP3PPP/RNBQK1?R	f8,g8,g1
45	src/assets/diagrams/image45.png	r1b1k?1r/pp1n1ppp/2p2n2/?2p2?1/3P4/2?1PN2/PP3PPP/R2QK?1R	f8,a5,g5,c3,f1
46	src/assets/diagrams/image46.png	r?bqk2r/pp2bppp/2p2n2/3p2?1/3P4/2?2N2/PP2PPPP/R2QK?1R	b8,g5,c3,f1
47	src/assets/diagrams/image47.png	r1bq??k?/pp2bppp/2p2n2/3p2?1/3P4/2?BPN2/PP?2PPP/??3?K?	e8,f8,h8,g5,c3,c2,a1,b1,f1,h1
48	src/assets/diagrams/image48.png	r3?1k?/1p2?ppp/2p3n1/1P1p4/3PB1?1/2?1PN2/2?2PPP/??3?K?	e8,h8,e7,g4,c3,c2,a1,b1,f1,h1
49	src/assets/diagrams/image49.png	r3?1k?/4?ppp/2p3?1/8/3Pp2?/4P1?1/2??1PPP/??3?K?	e8,h8,e7,g6,h4,g3,c2,d2,a1,b1,f1,h1
50	src/assets/diagrams/image50.png	?1?3k?/6pp/6?1/8/3P4/4P3/6PP/?5K?	a8,c8,h8,g6,a1,h1
51	src/assets/diagrams/image51.png	r2q1?k?/pp1nbp1p/2p2np1/3p2?1/3P4/2??PN2/PP3PPP/??3?K?	f8,h8,g5,c3,d3,a1,b1,f1,h1
52	src/assets/diagrams/image52.png	?1?q1?k?/5p1p/1np2bp1/1p1p4/??1P4/?P2PN2/2?2PPP/??3?K?	a8,c8,f8,h8,a4,b4,a3,c2,a1,b1,f1,h1
53	src/assets/diagrams/image53.png	r3?1k?/?3b2p/2p2pp1/1p?p4/1?nP4/?2NP3/5PPP/R1?3K?	e8,h8,a7,c5,b4,a3,c1,h1
54	src/assets/diagrams/image54.png	?5k?/7p/2p2pp1/2Pp4/5?2/?1p1PP2/5?PP/??5?	a8,h8,f4,a3,f2,a1,b1,h1
55	src/assets/diagrams/image55.png	?6?/8/7?/3?2p1/3p2P1/7?/P2?4/?6?	a8,h8,h6,d5,h3,d2,a1,h1
56	src/assets/diagrams/image56.png	?6?/1?4pp/8/?p6/1P6/8/7P/?4?1?	a8,h8,b7,a5,a1,f1,h1
57	src/assets/diagrams/image57.png	?6?/p3?1?p/1p2Pnp1/3p?3/2pP4/1nP3?1/1?4PP/?5K?	a8,h8,e7,g7,e5,g3,b2,a1,h1
58	src/assets/diagrams/image58.png	?2?2k?/p4ppp/1?6/2?n4/3?4/2p1P3/P1?1?PPP/?1?3K?	a8,d8,h8,b6,c5,d4,c2,e2,a1,c1,h1
59	src/assets/diagrams/image59.png	?2?2k?/p4ppp/8/8/8/2?1P3/P?2?PPP/?5K?	a8,d8,h8,c3,b2,e2,a1,h1
60	src/assets/diagrams/image60.png	r1bq??k?/p1p1b2p/2p3p1/3pPp2/5P2/1P?1?3/P1P1B1PP/R2Q1?K?	e8,f8,h8,c3,e3,f1,h1
61	src/assets/diagrams/image61.png	?5??/1?p?2?p/?3B3/2p1Pp2/1P1p1p2/?3?1?1/P1P3PP/?2?3?	a8,g8,h8,b7,d7,g7,a6,a3,e3,g3,a1,d1,h1
62	src/assets/diagrams/image62.png	?5k?/pp3ppp/4p3/8/8/2P5/PP3PPP/?5K?	a8,h8,a1,h1
63	src/assets/diagrams/image63.png	r?b1k2r/pp2bppp/4pn2/2P?4/8/2PB1N2/PP3PPP/RNBQK2R	b8,d5
64	src/assets/diagrams/image64.png	r?bqk?1r/pp3ppp/4pn2/2Pp4/3P4/2?5/PP3PPP/R1BQK??R	b8,f8,c3,f1,g1
65	src/assets/diagrams/image65.png	r1bqk??r/pp3ppp/2n5/3p4/2pP4/2?2NP1/PP2PP1P/R1BQK?1R	f8,g8,c3,f1
66	src/assets/diagrams/image66.png	??b?2k?/4?ppp/4p3/1BP1?3/1P2p3/8/5PPP/?3K2R	a8,b8,d8,h8,e7,e5,a1
67	src/assets/diagrams/image67.png	??b?2k?/2P3pp/1?2p3/1P2?p2/2B1p3/8/2?2PPP/?4?K?	a8,b8,d8,h8,b6,e5,c2,a1,f1,h1
68	src/assets/diagrams/image68.png	r4?1?/p4ppp/1p2p3/2p5/2P5/3P1P2/P1P2P1P/R3??1?	f8,h8,e1,f1,h1
69	src/assets/diagrams/image69.png	?6?/8/8/8/8/7?/6??/?6R	a8,h8,h3,g2,h2,a1
70	src/assets/diagrams/image70.png	?6?/8/8/4P3/8/8/8/?6?	a8,h8,a1,h1
71	src/assets/diagrams/image71.png	?6?/ppp2ppp/3p4/8/4P3/2?5/PPP2PPP/?6?	a8,h8,c3,a1,h1
