id,image,fen,status,source,notes
93,assets/diagrams/image93.png,,todo-image-extraction,,
94,assets/diagrams/image94.png,,todo-image-extraction,,
95,assets/diagrams/image95.png,,todo-image-extraction,,
96,assets/diagrams/image96.png,,todo-image-extraction,,
97,assets/diagrams/image97.png,,todo-image-extraction,,
98,assets/diagrams/image98.png,,todo-image-extraction,,
99,assets/diagrams/image99.png,,todo-image-extraction,,
100,assets/diagrams/image100.png,,todo-image-extraction,,
101,assets/diagrams/image101.png,,todo-image-extraction,,
102,assets/diagrams/image102.png,,todo-image-extraction,,
103,assets/diagrams/image103.png,,todo-image-extraction,,
104,assets/diagrams/image104.png,,todo-image-extraction,,
105,assets/diagrams/image105.png,,todo-image-extraction,,
106,assets/diagrams/image106.png,,todo-image-extraction,,
107,assets/diagrams/image107.png,,todo-image-extraction,,
108,assets/diagrams/image108.png,,todo-image-extraction,,
109,assets/diagrams/image109.png,,todo-image-extraction,,
110,assets/diagrams/image110.png,,todo-image-extraction,,
111,assets/diagrams/image111.png,,todo-image-extraction,,
112,assets/diagrams/image112.png,,todo-image-extraction,,
113,assets/diagrams/image113.png,,todo-image-extraction,,
114,assets/diagrams/image114.png,,todo-image-extraction,,
115,assets/diagrams/image115.png,,todo-image-extraction,,
116,assets/diagrams/image116.png,,todo-image-extraction,,
